evidence_id,topic_key,research_round,label,confidence,claim,verification_verdict,verification_correction,confidence_note,conflict_note,source_title,source_org,source_date,source_ref,relevance,access_date,validation_status
EV-DECDSGL-04,dec-dsgl,,FACT,High,"DSGL Part 1 is the Munitions List (goods, software and technology designed or adapted for military use, plus inherently lethal non-military goods); DSGL Part 2 is the Dual-use List with ten categories (Category 0 Nuclear Materials through Category 9 Aerospace and Propulsion), covering commercial items usable in military systems or WMD programs.",CONFIRMED,,,,"Explanatory Statement, Defence and Strategic Goods List 2024 (F2024L01024)",Australian Government (Federal Register of Legislation),2024-08,https://www.legislation.gov.au/F2024L01024/asmade/2024-08-16/es/original/pdf,constraint - most civil space technology falls in Part 2 Category 9 (Aerospace and Propulsion),2026-07-18,Custodian validation pending
EV-DECDSGL-05,dec-dsgl,,FACT,High,"The DSGL is largely derived from the control lists of the four multilateral export control regimes in which Australia is a participating state: the Wassenaar Arrangement, the Missile Technology Control Regime, the Australia Group and the Nuclear Suppliers Group; it is updated approximately every 12-24 months to track regime decisions.",CONFIRMED,,,,"Explanatory Statement, Defence and Strategic Goods List 2024 (F2024L01024)",Australian Government (Federal Register of Legislation),2024-08,https://www.legislation.gov.au/F2024L01024/asmade/2024-08-16/es/original/pdf,forum - Australia's control list is anchored in multilateral regimes (MTCR is decisive for launch vehicles),2026-07-18,Custodian validation pending
EV-DECDSGL-06,dec-dsgl,,FACT,High,"The DSGL 2024 contains 278 updates to the DSGL 2021: 231 are editorial/clarifying, and of the 47 substantive amendments, 19 are new or expanded controls, 13 remove or reduce approval requirements, and 15 are scope-neutral; Defence Export Controls assessed the overall impact on exporters and researchers as limited.",CONFIRMED,,,,"Explanatory Statement, Defence and Strategic Goods List 2024 (F2024L01024)",Australian Government (Federal Register of Legislation),2024-08,https://www.legislation.gov.au/F2024L01024/asmade/2024-08-16/es/original/pdf,constraint - shows control-list churn that partnership compliance programs must track,2026-07-18,Custodian validation pending
EV-DECDSGL-07,dec-dsgl,,FACT,High,"Defence Export Controls (DEC), within the Department of Defence, is the authority that grants permits and approvals to export, supply, publish and broker DSGL goods, software and technology; DSGL items cannot be exported, supplied, published or brokered without a permit unless a legislative exemption applies.",,,,,"Explanatory Statement, Defence and Strategic Goods List 2024 (F2024L01024)",Australian Government (Federal Register of Legislation),2024-08,https://www.legislation.gov.au/F2024L01024/asmade/2024-08-16/es/original/pdf,instrument - DEC is the single national gatekeeper any space partnership must transact with,2026-07-18,Custodian validation pending
EV-DECDSGL-08,dec-dsgl,,FACT,High,"Section 10 of the Defence Trade Controls Act 2012 makes it an offence to supply DSGL technology intangibly (e.g. by email, fax, telephone, video conference or provision of electronic file access) from within Australia to a person outside Australia without a permit, unless an exception or exemption applies.",,,,,Defence Trade Controls Act 2012 (compilation of 14 October 2024),Federal Register of Legislation,2024-10,https://www.legislation.gov.au/C2012A00153/latest,"constraint - captures everyday engineering exchange (emails, design reviews) in international space projects",2026-07-18,Custodian validation pending
EV-DECDSGL-09,dec-dsgl,,FACT,High,"The Defence Trade Controls Amendment Act 2024 passed the Australian Parliament on 27 March 2024; its main amendments commenced on 1 September 2024, and the three new offences (sections 10A, 10B and 10C) took effect on 1 March 2025 after a transition period.",,,,,Australia passes significant export controls amendments; Australian offences for new export controls regime commence 1 March 2025,Baker McKenzie (Global Sanctions / Supply Chain Compliance blogs),2025-02,https://supplychaincompliance.bakermckenzie.com/2025/02/17/australian-offences-for-new-export-controls-regime-commence-1-march-2025/,instrument - key dates for the reformed control regime relevant to partnership sequencing,2026-07-18,Custodian validation pending
EV-DECDSGL-10,dec-dsgl,,FACT,High,"New section 10A of the Defence Trade Controls Act (the 'deemed export' offence, in force 1 March 2025) prohibits supplying DSGL technology within Australia to a non-exempt foreign person without a permit, which includes an employer giving controlled technology access to foreign-national employees located in Australia.",,,,,Australian offences for new export controls regime commence 1 March 2025,Baker McKenzie,2025-02,https://supplychaincompliance.bakermckenzie.com/2025/02/17/australian-offences-for-new-export-controls-regime-commence-1-march-2025/,constraint - workforce nationality screening now conditions who can work on controlled space programs in Australia,2026-07-18,Custodian validation pending
EV-DECDSGL-11,dec-dsgl,,FACT,Medium,"New section 10B (in force 1 March 2025) prohibits the re-supply, between places outside Australia, of a defined subset of DSGL goods or technology - items on DSGL Part 1 or the Part 2 'Sensitive' and 'Very Sensitive' lists - that were previously exported or supplied from Australia under permit.",,,,,Defence Trade Controls Amendment Act 2024 and Defence Trade Legislation Amendment Regulations 2024 (Defence summary via search); corroborated by Baker McKenzie,Department of Defence / Baker McKenzie,2024,https://www.defence.gov.au/about/reviews-inquiries/defence-trade-controls-amendment-act-2024-defence-trade-legislation-amendment-regulations-2024,constraint - extraterritorial follow-on control over Australian-origin space items moving between foreign partners,2026-07-18,Custodian validation pending
EV-DECDSGL-12,dec-dsgl,,FACT,High,New section 10C (in force 1 March 2025) prohibits Australian persons outside Australia from providing 'DSGL services' - assistance including training related to DSGL Part 1 (Munitions List) goods or technology - to foreign persons without a permit.,,,,,Australia's Defence Trade Controls Act - new offences and exemptions; Baker McKenzie 1 March 2025 article,Corrs Chambers Westgarth / Baker McKenzie,2024,https://www.corrs.com.au/insights/australias-defence-trade-controls-act-new-offences-and-exemptions,constraint - controls Australian experts providing technical assistance to foreign space/missile-adjacent programs abroad,2026-07-18,Custodian validation pending
EV-DECDSGL-13,dec-dsgl,,FACT,High,"The Defence Trade Controls Act 2012 (as amended) also contains a publication offence (section 14A, publishing DSGL Part 1 technology without approval) and a brokering offence (section 15, arranging supplies of DSGL items between places outside Australia without a permit), supported by a registered-broker regime; brokering Part 2 dual-use items is an offence where the broker knows or is reckless as to military end-use or WMD-program use.",,,,,Defence Trade Controls Act 2012 (compilation of 14 October 2024),Federal Register of Legislation,2024-10,https://www.legislation.gov.au/C2012A00153/latest,constraint - covers publication of controlled space technology and third-country deal-making by Australian intermediaries,2026-07-18,Custodian validation pending
EV-DECDSGL-14,dec-dsgl,,FACT,High,"Maximum penalties for the principal Defence Trade Controls Act offences (including sections 10 and 10A-10C) are 10 years imprisonment or 2,500 penalty units (approximately A$782,500 at the time of the cited 2024 publication), or both.",,,,,Australia's Defence Trade Controls Act - new offences and exemptions,Corrs Chambers Westgarth,2024,https://www.corrs.com.au/insights/australias-defence-trade-controls-act-new-offences-and-exemptions,constraint - criminal exposure drives conservative compliance behaviour in space collaborations,2026-07-18,Custodian validation pending
EV-DECDSGL-15,dec-dsgl,,FACT,High,"From 1 September 2024 the amended framework establishes an AUKUS 'licence-free environment' waiving permit requirements for supply of most DSGL goods and technology between Australia, the United Kingdom and the United States, conditional on the transaction occurring wholly within the three countries between eligible persons (e.g. Australian persons, UK/US citizens, permanent residents, corporations and governments), with registration/notification to DEC and record-keeping obligations still applying, and some technologies excluded.",,,,,Australia Tightens Defence Trade Controls; Baker McKenzie and UQ corroboration,Law Compliance / Baker McKenzie / University of Queensland,2024,https://lawcompliance.com.au/australia-tightens-defence-trade-controls/,Australian value proposition / dependency - dramatically lowers friction for trilateral space technology transfer with US and UK,2026-07-18,Custodian validation pending
EV-DECDSGL-16,dec-dsgl,,FACT,Medium,"The US State Department published a reciprocal ITAR exemption for defence trade and cooperation among Australia, the United Kingdom and the United States in the Federal Register on 20 August 2024 (Doc. 2024-18043), complementing Australia's licence-free environment.",,,,,"International Traffic in Arms Regulations: Exemption for Defense Trade and Cooperation Among Australia, the United Kingdom, and the United States",US Federal Register / US Department of State,2024-08,https://www.federalregister.gov/documents/2024/08/20/2024-18043/international-traffic-in-arms-regulations-exemption-for-defense-trade-and-cooperation-among,dependency / partner instrument - reciprocal US relief is what makes the AUKUS pathway usable for Australian space firms,2026-07-18,Custodian validation pending
EV-DECDSGL-17,dec-dsgl,,FACT,High,"The DSGL definition of controlled 'technology' excludes information 'in the public domain' (available without restriction on further dissemination) and 'basic scientific research' (experimental or theoretical work principally to acquire new knowledge of fundamental principles, not directed at a specific practical aim); such information can be shared without a permit.",,,,,"Overview of the Defence Trade Controls Act (Corrs PDF) and university export-control guidance (Deakin, Adelaide, CDU)",Corrs Chambers Westgarth / Australian universities,,https://www.corrs.com.au/site-uploads/images/PDFs/Insights/Defence-Trade-Controls-Act.pdf,Australian input / constraint-relief - preserves open space science and pre-competitive research collaboration,2026-07-18,Custodian validation pending
EV-DECDSGL-18,dec-dsgl,,FACT,Medium,"The Minister for Defence maintains a Foreign Country List of 'whitelisted' countries whose citizens are treated as exempt for certain DTC Act offences (reported to include Austria, Belgium, Canada, France, Japan, New Zealand, the UK and the US among others), and the 2024 regulations allow the Minister to add countries outside the four multilateral regimes on national-security, economic-prosperity or international-relations grounds.",,,,,Australia's Defence Trade Controls Act - new offences and exemptions,Corrs Chambers Westgarth,2024,https://www.corrs.com.au/insights/australias-defence-trade-controls-act-new-offences-and-exemptions,instrument - defines which partner-nation personnel can access controlled space technology in Australia without permits,2026-07-18,Custodian validation pending
EV-DECDSGL-19,dec-dsgl,,FACT,Medium,"DSGL entry 9A004 (Part 2, Category 9 Aerospace and Propulsion) controls space launch vehicles, spacecraft, spacecraft buses, spacecraft payloads, spacecraft on-board systems or equipment (including command, telemetry, payload data handling and attitude/orbit control components), and specialised terrestrial equipment such as telemetry and telecommand systems.",,,,,DSGL Online - 9A004 Space launch vehicles and spacecraft,"Department of Defence (DSGL online tool, content obtained via search; site unreachable this session)",,https://dsgl.defence.gov.au/dsglcontent/Pages/9A004.aspx,constraint - places core satellite and launch technology squarely inside the permit regime,2026-07-18,Custodian validation pending
EV-DECDSGL-20,dec-dsgl,,FACT,Medium,"United States Studies Centre analysis of the DTC Amendment Bill found the reform was needed to demonstrate export controls comparable to US ITAR for Congressional certification under AUKUS, that permit processing had taken one to six months, and that the government projected economic benefits of about A$614 million over ten years from the licence-free environment; Universities Australia warned the new controls could put at risk collaborative research with non-AUKUS partner nations.",,,,,The Defence Trade Controls Amendment Bill 2023: The key to AUKUS?,United States Studies Centre,2023,https://www.ussc.edu.au/the-defence-trade-controls-amendment-bill-2023-the-key-to-aukus,Australian value proposition / constraint - quantifies the trade-off between AUKUS integration and wider research openness,2026-07-18,Custodian validation pending
EV-DECDSGL-21,dec-dsgl,,ASSESSMENT,High,"The DEC system now creates a two-tier geometry for Australian space collaboration: transfers of most DSGL space technology to and among the US and UK are permit-free (subject to registration, exclusions and record-keeping), while equivalent collaboration with all other partners - including close space partners such as Japan, India, ESA member states and commercial customers - still requires DEC permits for physical export (reg 13E), intangible supply (s10), deemed exports to foreign nationals in Australia (s10A) and offshore services (s10C).",,,,,"Analytical synthesis of legislation.gov.au, Corrs, Baker McKenzie, UQ and Defence sources accessed this session",Analyst assessment,,https://www.legislation.gov.au/C2012A00153/latest,constraint / Australian value proposition - the central structural fact shaping partner selection in any Defence space partnership framework,2026-07-18,Custodian validation pending
EV-DECDSGL-22,dec-dsgl,,ASSESSMENT,Medium,"Because Australia is not globally competitive in many non-military DSGL areas (advanced materials, electronics, sensors, navigation, aerospace) and relies on partnerships for access to technology, the deemed-export and services offences increase compliance cost precisely where Australian space organisations most need foreign talent and inbound know-how; this is a manageable but real friction for non-AUKUS space partnerships.",,,,,Synthesis drawing on USSC analysis and university/industry submissions reported in search results,Analyst assessment,,https://www.ussc.edu.au/the-defence-trade-controls-amendment-bill-2023-the-key-to-aukus,dependency / constraint - links workforce and technology-access dependencies to the control regime,2026-07-18,Custodian validation pending
EV-DECDSGL-23,dec-dsgl,,TO_VERIFY,Low,"Under the earlier Australia-US Defense Trade Cooperation Treaty framework, certain defence articles specific to spacecraft, satellites and ground control stations were excluded from the treaty's licence-free scope, illustrating that space technologies have historically been treated as among the most sensitive categories in Australia-US trade mechanisms.",,,,,Global Outer Space Guide: Australia,Norton Rose Fulbright,,https://www.nortonrosefulbright.com/en/knowledge/publications/f0a97b4e/global-outer-space-guide-australia,"constraint - if space items are similarly excluded from the 2024 AUKUS exemption, the licence-free benefit for space collaboration shrinks; needs checking against the Excluded Technology List",2026-07-18,Custodian validation pending
EV-EXPORTRE-01,export-regimes,,FACT,High,"On 23 October 2024 the US Bureau of Industry and Security published an EAR final rule (effective on publication) removing licence requirements for exports, reexports and transfers of certain spacecraft and related items to Australia, Canada and the United Kingdom, covering ECCN 9A515.a.1-a.4 and .g (including remote-sensing and space-logistics/servicing spacecraft) and ECCN 9E515.f technology; BIS anticipated roughly 90 fewer licence applications annually.",CONFIRMED,,,,"New Export Control Rules Present Key Regulatory Changes for Space-Related Items, Activities",Holland & Knight LLP,2024-11,https://www.hklaw.com/en/insights/publications/2024/11/new-export-control-rules-present-key-regulatory-changes-for-space,Australian value proposition / instrument — preferential US EAR treatment for Australia lowers a key licensing barrier for space cooperation,2026-07-18,Custodian validation pending
EV-EXPORTRE-02,export-regimes,,FACT,High,"A BIS interim final rule effective 23 October 2024 downgraded the licensing rationale for spacecraft parts and components in ECCNs 9x515.x from NS1/RS1 to NS2/RS2 (removing licence requirements for a much wider range of destinations) and created a reserved, more restrictive 9A515.w for items warranting NS1/RS1 treatment; BIS took comments to 22 November 2024 for possible adjustment.",CONFIRMED,,,,"New Export Control Rules Present Key Regulatory Changes for Space-Related Items, Activities",Holland & Knight LLP,2024-11,https://www.hklaw.com/en/insights/publications/2024/11/new-export-control-rules-present-key-regulatory-changes-for-space,constraint / instrument — reduced EAR controls on spacecraft components ease multinational space supply chains involving Australia,2026-07-18,Custodian validation pending
EV-EXPORTRE-03,export-regimes,,FACT,High,"On 23 October 2024 the US State Department published a proposed (not final) rule revising ITAR USML Categories IV (missiles/launch systems) and XV (spacecraft and related articles), which would add the first formal ITAR definition of 'spacecraft', expand Category XV coverage to spacecraft capable of noncooperative grappling or docking, star trackers, DoD-funded payloads and advanced electric/nuclear propulsion, and define an 'excluded NASA spacecraft' carve-out (ISS and James Webb Space Telescope).",CONFIRMED,,,,"New Export Control Rules Present Key Regulatory Changes for Space-Related Items, Activities; International Traffic in Arms Regulations (ITAR): U.S. Munitions List Categories IV and XV",Holland & Knight LLP / US Department of State (Federal Register doc 2024-24091),2024-10,https://www.hklaw.com/en/insights/publications/2024/11/new-export-control-rules-present-key-regulatory-changes-for-space,constraint / instrument — pending rebalance of the ITAR/EAR boundary for space items defines what Australia can access licence-free,2026-07-18,Custodian validation pending
EV-EXPORTRE-04,export-regimes,,TO_VERIFY,Medium,"As of 18 July 2026, sources reviewed indicate the October 2024 proposed rewrite of USML Categories IV and XV has not been published as a final rule; a compliance-training rule tracker states DDTC has signalled the space-related USML revision as planned for 2026 with no final rule yet issued.",,,,,Recent Developments in Export Controls | ECTI Rule Tracker (via web search),Export Compliance Training Institute (ECTI),2026,https://learnexportcompliance.com/resources/recent-developments,constraint — timing of the final USML Cat XV rule determines when the new ITAR/EAR space boundary applies to Australian programs,2026-07-18,Custodian validation pending
EV-EXPORTRE-05,export-regimes,,FACT,High,"Under the EAR de minimis rule (15 CFR 734.4), a foreign-made item is subject to the EAR if it incorporates more than 25% controlled US-origin content by value (10% for Country Group E:1/E:2 destinations such as Iran, North Korea, Syria and Cuba).",CONFIRMED,,,,Subject to the EAR: When is a non-US product free from the EAR?,DLA Piper,2021-08,https://www.dlapiper.com/en-us/insights/publications/2021/08/when-is-a-non-us-product-free-from-the-ear,constraint / dependency — US content in Australian-built space systems can pull the whole item under US reexport jurisdiction,2026-07-18,Custodian validation pending
EV-EXPORTRE-06,export-regimes,,FACT,High,"Foreign-made items incorporating US-origin 9x515 (spacecraft) or 600-series (military) content cannot benefit from EAR de minimis relief when destined for arms-embargoed destinations (Country Group D:5, e.g. China, Russia) — effectively a zero de minimis for such content to those destinations.",CONFIRMED,,,,Subject to the EAR: When is a non-US product free from the EAR?,DLA Piper,2021-08,https://www.dlapiper.com/en-us/insights/publications/2021/08/when-is-a-non-us-product-free-from-the-ear,constraint — Australian satellite exports containing any US 9x515 content face US licensing to D:5 markets regardless of percentage,2026-07-18,Custodian validation pending
EV-EXPORTRE-07,export-regimes,,FACT,High,"There is no de minimis exemption under ITAR: USML-described content incorporated into a foreign-made product remains ITAR-controlled (the 'see-through' rule), so any ITAR component in a foreign satellite keeps that transfer within DDTC jurisdiction.",CORRECTED,"The first two elements are correct: the ITAR has no de minimis exemption, and USML-described content incorporated into a foreign-made product remains ITAR-controlled (colloquially the 'see-through' rule). But the final clause is overbroad for satellites specifically. Since the 2014 satellite export-control reform — restated verbatim in the regulatory text of the 23 Oct 2024 BIS final rule — the Items note to ECCN 9A515 provides that spacecraft described in 9A515 'remain subject to the EAR even if exported, reexported, or transferred (in-country) with defense articles subject to the ITAR integrated into and included therein as integral parts of the item.' So a foreign satellite that is itself subject to the EAR (classified 9A515) transfers under BIS/EAR jurisdiction despite an integrated ITAR component; ITAR/DDTC authorization is still required for the ITAR article's technical data and for its removal from the spacecraft. The claimed result — the transfer itself staying within DDTC jurisdiction — holds only where the foreign satellite is not itself subject to the EAR (e.g., below de minimis for EAR content).",,,Subject to the EAR: When is a non-US product free from the EAR?,DLA Piper,2021-08,https://www.dlapiper.com/en-us/insights/publications/2021/08/when-is-a-non-us-product-free-from-the-ear,constraint / dependency — single ITAR part in an Australian spacecraft imposes full US extraterritorial control on the platform,2026-07-18,Custodian validation pending
EV-EXPORTRE-08,export-regimes,,FACT,High,"The AUKUS ITAR exemption at 22 CFR 126.7 took effect 1 September 2024 (interim final rule), permitting licence-free export, reexport, retransfer and temporary import of most defence articles, defence services and brokering among authorised users in Australia, the UK and the US, subject to an Excluded Technologies List at Supplement No. 2 to Part 126.",,,,,"DDTC Publishes ITAR Amendments to Implement the AUKUS Exemption (via web search, corroborated by DLA Piper Jan 2026 alert)",Crowell & Moring LLP / US Department of State DDTC,2024-09,https://www.crowell.com/en/insights/client-alerts/ddtc-publishes-itar-amendments-to-implement-the-aukus-exemption,Australian value proposition / instrument — the core licence-free channel for US-Australia defence-space technology transfer,2026-07-18,Custodian validation pending
EV-EXPORTRE-09,export-regimes,,FACT,High,"The State Department published the final rule finalising the AUKUS ITAR exemption on 30 December 2025, effective on publication; it added a new ITAR 126.7(c) mechanism for certain reexports/retransfers/temporary imports supporting AUKUS armed forces, expanded the Authorized User definition to UK national-level and Australian federal government departments and agencies, but did not broaden the Excluded Technologies List; one three-month review period saw 18% of licensing requests denied due to ETL restrictions.",,,,,Department of State publishes final rule finalizing AUKUS defense trade ITAR exemption,DLA Piper,2026-01,https://www.dlapiper.com/en-us/insights/publications/2026/01/department-of-state-publishes-final-rule-finalizing-aukus-defense-trade-itar-exemption,"Australian value proposition / constraint — exemption now permanent, but ETL exclusions still block a material share of transfers",2026-07-18,Custodian validation pending
EV-EXPORTRE-10,export-regimes,,TO_VERIFY,Low,Whether and which space-related items (e.g. specific USML Category XV articles) appear on the AUKUS Excluded Technologies List (Supplement No. 2 to ITAR Part 126) could not be confirmed from sources accessed this session; the primary ETL text must be checked before asserting space eligibility under ITAR 126.7.,,,,,Department of State publishes final rule finalizing AUKUS defense trade ITAR exemption,DLA Piper,2026-01,https://www.dlapiper.com/en-us/insights/publications/2026/01/department-of-state-publishes-final-rule-finalizing-aukus-defense-trade-itar-exemption,constraint — determines whether specific Australian space programs can actually use the AUKUS licence-free pathway,2026-07-18,Custodian validation pending
EV-EXPORTRE-11,export-regimes,,FACT,High,"On 8 September 2025 the European Commission adopted a Delegated Regulation updating Annex I (the EU dual-use control list) of Regulation (EU) 2021/821, implementing decisions taken in 2024 by the Wassenaar Arrangement, MTCR, Australia Group and Nuclear Suppliers Group, plus additional items Member States agreed to control uniformly; changes are directly applicable in all Member States without national implementation.",,,,,2025 Update of the EU Control List of Dual-Use Items,European Commission (DG Trade),2025-09,https://policy.trade.ec.europa.eu/news/2025-update-eu-control-list-dual-use-items-2025-09-08_en,"instrument / partner capability — defines what EU partners (e.g. for SSA, launch, components) can export to Australia licence-free or under licence",2026-07-18,Custodian validation pending
EV-EXPORTRE-12,export-regimes,,FACT,High,"The 2025 EU dual-use list update was published in the Official Journal as Delegated Regulation (EU) 2025/2003 and entered into force on 15 November 2025 (EUR-Lex consolidated version of Regulation 2021/821 is dated 15.11.2025; publication reported as 14 November 2025); key additions include quantum computers and cryogenic/quantum-limited electronics, advanced semiconductor manufacturing equipment (including EUV lithography-related items), additive manufacturing machines and peptide synthesisers — no space/satellite-specific new entries were identified in reviewed analyses.",,,,,European Commission Revises Dual-Use List: Highlights from the 2025 Update,"Crowell & Moring International Trade Law blog (cmtradelaw.com), corroborated by Baker McKenzie and EUR-Lex search results",2025-11,https://www.cmtradelaw.com/2025/11/european-commission-revises-dual-use-list-highlights-from-the-2025-update/,"instrument — cite as Delegated Regulation (EU) 2025/2003, in force 15 Nov 2025, in the compliance brief",2026-07-18,Custodian validation pending
EV-EXPORTRE-13,export-regimes,,FACT,High,"The UK Export Control (Amendment) Regulations 2025, in force 20 May 2025, amended the Export Control Order 2008 and retained Regulation (EC) 428/2009 to implement 2024 multilateral regime changes (Wassenaar, NSG, Australia Group) in the UK Strategic Export Control List, including an amended definition of 'spacecraft' with new definitions for 'satellite', 'space probe' and 'space vehicle', updates to entries such as ML10, 3A002, 5A002, 9A004 and 9E003, and a new PL9013a4 AI/high-end digital processing control parameter.",,,,,NTE 2025/06: upcoming updates to the UK strategic export control list,UK Export Control Joint Unit / Department for Business and Trade (GOV.UK),2025,https://www.gov.uk/government/publications/notice-to-exporters-202506-upcoming-updates-to-the-uk-strategic-export-control-list/nte-202506-upcoming-updates-to-the-uk-strategic-export-control-list,instrument / partner interest — UK space-specific definitional changes shape UK-Australia dual-use space trade under AUKUS Pillar 2,2026-07-18,Custodian validation pending
EV-EXPORTRE-14,export-regimes,,FACT,High,"The current edition of the UK Strategic Export Control Lists (the consolidated list of strategic military and dual-use items requiring export authorisation, compiled from seven legislative lists) is dated 16 December 2025 — a 398-page consolidated PDF on GOV.UK; the list is updated roughly twice a year.",,,,,UK Strategic Export Control Lists: consolidated list of strategic military and dual-use items,UK Government (GOV.UK),2025-12,https://www.gov.uk/government/publications/uk-strategic-export-control-lists-the-consolidated-list-of-strategic-military-and-dual-use-items-that-require-export-authorisation,instrument — the authoritative UK control-list edition to cite in the compliance brief,2026-07-18,Custodian validation pending
EV-EXPORTRE-15,export-regimes,,FACT,High,"On 9 April 2025 Japan's METI announced amendments to FEFTA-related regulations tightening catch-all export controls, effective 9 October 2025: catch-all items are split into two tiers with high dual-use-risk 'core items' (including certain semiconductors and machine tools) subject to stricter treatment, objective 'know' requirements apply to exports to general (non-Group A) countries including China, and a new 'informed' condition lets METI notify exporters shipping to Group A countries that a permit is required — targeting circumvention such as transshipment to Russia.",,,,,Trending Topics: Major Changes to Catch-All Export Controls (Effective October 2025),Anderson Mori & Tomotsune,2025-05,https://www.amt-law.com/en/insights/trending-news/trending-news_20250512001_en_001/,partner interest / constraint — Japan's tightened catch-all regime affects Japan-Australia space component and technology flows,2026-07-18,Custodian validation pending
EV-EXPORTRE-16,export-regimes,,TO_VERIFY,Medium,"Japan's October 2025 catch-all framework applies to 'specified items' for general countries identified by HS codes that include machine tools, integrated circuits and spacecraft; the characterisation that Japan's high-risk catch-all items extend to 'space objects' is consistent with this but the precise Japanese ordinance wording and HS-code list for space items needs confirmation from the METI text.",,,,,International Trade 2026 - Japan (Global Practice Guide),Chambers and Partners (Japanese counsel authors),2026,https://practiceguides.chambers.com/practice-guides/international-trade-2026/japan,constraint — whether spacecraft are formally among Japan's core/specified catch-all items matters for Japan-Australia space trade compliance language,2026-07-18,Custodian validation pending
EV-EXPORTRE-17,export-regimes,,FACT,High,"Japan's prior-notification (prior reporting) system for overseas transfers of 'important management target technologies' under FEFTA commenced application on 30 December 2024, initially designating 15 technologies in which Japan holds indispensability or superiority (including multilayer ceramic capacitors, carbon fibre and semiconductor-related technologies); businesses must report to METI before contracting to provide these technologies overseas via investment, manufacturing consignment or similar, with administrative guidance, improvement orders and ultimately penalties for non-compliance.",,,,,International Trade 2026 - Japan (Global Practice Guide); Japan Legal Update: Introduction of a Prior Notification System for Overseas Technology Transfers (AMT),Chambers and Partners / Anderson Mori & Tomotsune / METI,2026,https://practiceguides.chambers.com/practice-guides/international-trade-2026/japan,partner capability / constraint — Japan's technology-outflow controls condition how Japanese space-relevant technology can be shared with Australian ventures,2026-07-18,Custodian validation pending
EV-EXPORTRE-18,export-regimes,,FACT,Medium,"A 14 January 2026 amendment adds four technologies (quantum dots, TADF materials, retardation film, soft endoscopes) to Japan's list of important management target technologies subject to prior reporting, bringing the designated fields beyond the original 15.",,,,,International Trade 2026 - Japan (Global Practice Guide),Chambers and Partners,2026,https://practiceguides.chambers.com/practice-guides/international-trade-2026/japan,constraint — shows Japan's key-technology notification list is expanding; watch for future space-technology designations,2026-07-18,Custodian validation pending
EV-EXPORTRE-19,export-regimes,,FACT,High,"The 29th Wassenaar Arrangement Plenary was held in Vienna on 3-4 December 2025, chaired by Ambassador Kaifu Atsushi (Japan); Participating States updated and clarified control-list entries covering lasers (including those used in aerospace industries), imaging sensors and cameras, seabed surveying equipment, parachutes/paragliders and ceramic composite materials, removed entries for certain temperature sensors and underwater vision/light systems, and updated the Best Practice Guidelines on Internal Compliance Programmes; the updated Dual-Use and Munitions Lists were issued in December 2025, the Republic of Korea chairs the Plenary from 1 January 2026, and the next Plenary (30th anniversary) is in Vienna in December 2026.",,,,,Statement Issued by the Plenary Chair on 2025 Outcomes of the Wassenaar Arrangement,Wassenaar Arrangement Secretariat,2025-12,https://www.wassenaar.org/app/uploads/2025/12/chair_statement.pdf,"forum — WA is the source list for space-relevant dual-use controls (Category 9) that Australia, the US, UK, EU and Japan transpose nationally",2026-07-18,Custodian validation pending
EV-EXPORTRE-20,export-regimes,,ASSESSMENT,High,"The Wassenaar Arrangement has 42 Participating States including Australia, the US, UK, Japan and the Russian Federation; because it operates by consensus and its lists are not self-executing, WA decisions constrain but do not directly bind national space export controls, and Russia's continued participation is a structural limitation on the regime's ability to respond to space-technology proliferation concerns.",,,,,Statement Issued by the Plenary Chair on 2025 Outcomes of the Wassenaar Arrangement (membership list at footnote 1),Wassenaar Arrangement Secretariat,2025-12,https://www.wassenaar.org/app/uploads/2025/12/chair_statement.pdf,"forum / constraint — explains why partners increasingly act via plurilateral/national controls (EU uniform controls, Japan core items) rather than WA alone",2026-07-18,Custodian validation pending
EV-EXPORTRE-21,export-regimes,,ASSESSMENT,High,"There is a consistent one-to-two-year transposition lag from Wassenaar decisions to binding partner law: 2024 WA (and MTCR/AG/NSG) decisions were implemented in the UK on 20 May 2025, in the EU on 15 November 2025, and reflected in Japan's 2025 amendments — so the December 2025 WA list changes should be expected in partner legislation during 2026-2027.",,,,,2025 Update of the EU Control List of Dual-Use Items; NTE 2025/06 (GOV.UK); WA Chair Statement 2025,European Commission / UK ECJU / Wassenaar Arrangement,2025,https://policy.trade.ec.europa.eu/news/2025-update-eu-control-list-dual-use-items-2025-09-08_en,"Australian input / instrument — Australia should anticipate and shape 2026 WA outcomes now, as they become partner law within ~18 months",2026-07-18,Custodian validation pending
